virus;Zn;Mg;Mn;Fe
Abelson murine leukemia virus;0;0;0;0
Adeno-associated virus 2 (isolate Srivastava/1982) (AAV-2);0;0;0;0
African swine fever virus (ASFV);1;1;1;1
Aichi virus (AiV);0;0;0;0
Alfalfa mosaic virus (strain 425 / isolate Leiden);0;0;0;0
Alkhumra hemorrhagic fever virus (ALKV) (Alkhurma hemorrhagic fever virus);1;0;0;0
Ateline herpesvirus 3 (AtHV-3) (Herpesvirus ateles);1;1;0;1
Autographa californica nuclear polyhedrosis virus (AcMNPV);1;0;0;0
Avian infectious bronchitis virus (strain Beaudette) (IBV);1;0;0;0
Avian infectious bursal disease virus (isolate Chicken/UK/UK661/1989) (IBDV) (Gumboro disease virus);1;0;0;0
Avian leukosis virus RSA (RSV-SRA) (Rous sarcoma virus (strain Schmidt-Ruppin A));1;1;0;0
Avian sarcoma virus (strain PR2257);1;1;0;0
Bamboo mosaic virus satellite RNA;0;0;0;0
Beet yellows virus (isolate Ukraine) (BYV) (Sugar beet yellows virus);0;0;0;0
Bhendi yellow vein betasatellite;0;0;0;0
Bhendi yellow vein mosaic virus-[Madurai];1;0;0;0
BK polyomavirus (BKPyV) (Human polyomavirus 1);0;0;0;0
Bluetongue virus;0;0;0;0
Bluetongue virus 10 (isolate USA) (BTV 10);0;0;0;0
Bombyx mori nuclear polyhedrosis virus (BmNPV);1;0;0;0
Borna disease virus (strain V) (BDV);0;0;0;0
Borna disease virus 1 (BoDV-1);0;0;0;0
Bovine herpesvirus 1.1 (strain Jura) (BoHV-1) (Infectious bovine rhinotracheitis virus);1;1;0;0
Bovine herpesvirus 1.1 (strain P8-2) (BoHV-1) (Infectious bovine rhinotracheitis virus);1;1;0;0
Bovine immunodeficiency virus (strain R29) (BIV) (Bovine immunodeficiency-like virus);1;1;0;0
Bovine leukemia virus (BLV);1;1;0;0
Bovine orthopneumovirus;1;0;0;0
Bovine papillomavirus type 1;1;0;0;0
Bovine papillomavirus type 2;1;0;0;0
Bovine respiratory syncytial virus (strain Rb94) (BRS);1;0;0;0
Bovine viral diarrhea virus (isolate NADL) (BVDV) (Mucosal disease virus);0;0;0;0
Brome mosaic virus (BMV);0;0;0;0
Bunyamwera virus (BUNV);0;0;0;0
Bunyavirus La Crosse (isolate Human/United States/L78/1978);0;0;0;0
Cauliflower mosaic virus (strain Strasbourg) (CaMV);1;0;0;0
Cercopithecine herpesvirus 1 (CeHV-1) ;1;1;;1
Chandipura virus (strain I653514) (CHPV);0;0;0;0
Chicken anemia virus (isolate Germany Cuxhaven-1) (CAV);0;0;0;0
Chikungunya virus (CHIKV);0;0;0;0
Chimpanzee hepatitis B virus (isolate United Kingdom/LSH/1988) (HBVcpz);0;1;0;0
Citrus tristeza virus;0;0;0;0
Classical swine fever virus;0;0;0;0
Clostridium botulinum C phage (Clostridium botulinum C bacteriophage);0;0;0;0
Coconut foliar decay alphasatellite;0;0;0;0
Cottontail rabbit papillomavirus (strain Kansas) (CRPV) (Papillomavirus sylvilagi);1;0;0;0
Cowpox virus (CPV);1;0;0;1
Coxsackievirus B3 (strain Woodruff);0;1;0;0
Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV);0;0;0;0
Cucumber mosaic virus (strain FNY) (CMV);0;0;0;0
Dengue virus 1;1;0;0;0
Dengue virus 2;1;0;0;0
Dengue virus type 2 (strain 16681-PDK53) (DENV-2);1;0;0;0
Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2);1;0;0;0
Dengue virus type 4 (strain Dominica/814669/1981) (DENV-4);1;0;0;0
Dobrava-Belgrade orthohantavirus;0;0;0;0
Echovirus E11;0;0;0;0
Echovirus E7;0;0;0;0
Ectromelia virus ERPV;0;0;0;0
Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4);1;1;0;1
Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4);1;1;0;1
Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4);1;1;0;1
Equine arteritis virus (strain Bucyrus) (EAV);1;0;0;0
Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus);1;1;0;1
Equine herpesvirus 1 (strain Kentucky A) (EHV-1) (Equine abortion virus);1;0;0;0
Equine herpesvirus 2 (strain 86/87) (EHV-2);1;1;0;1
Equine infectious anemia virus (isolate 1369) (EIAV);1;0;0;0
Equine infectious anemia virus (isolate CL22) (EIAV);1;0;0;0
Escherichia phage lambda (Bacteriophage lambda);1;1;0;1
Fowl adenovirus A serotype 1 (strain CELO / Phelps) (FAdV-1) (Avian adenovirus gal1 (strain Phelps));1;1;0;0
Fowlpox virus (strain NVSL) (FPV);1;1;0;1
Guanarito mammarenavirus (isolate Human/Venezuela/NH-95551/1990) (GTOV);1;0;0;0
Hamster polyomavirus (HaPyV) (Mesocricetus auratus polyomavirus 1);1;0;0;0
Hantaan virus (strain 76-118) (Korean hemorrhagic fever virus);0;0;0;0
Hendra virus (isolate Horse/Autralia/Hendra/1994);1;0;0;0
Hepatitis B virus genotype B1 (isolate Japan/Yamagata-2/1998) (HBV-B);0;1;0;0
Hepatitis B virus genotype A2 subtype adw2 (strain Rutter 1979) (HBV-A);0;1;0;0
Hepatitis B virus genotype C subtype ayr (isolate Human/Japan/Okamoto/-) (HBV-C);0;1;0;0
Hepatitis B virus genotype D subtype ayw (isolate Australia/AustKW/1991) (HBV-D);0;1;0;0
Hepatitis B virus genotype F2 (isolate Brazil/w4B) (HBV-F);0;1;0;0
Hepatitis C virus (isolate Glasgow) (HCV);1;0;0;0
Hepatitis C virus genotype 1a (isolate 1) (HCV);1;0;0;0
Hepatitis C virus genotype 1a (isolate H) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate BK) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Con1) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate HC-J1) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate HCR6) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Japanese) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (isolate Taiwan) (HCV);1;0;0;0
Hepatitis C virus genotype 1b (strain HC-J4) (HCV);1;0;0;0
Hepatitis C virus genotype 2a (isolate HC-J6) (HCV);1;0;0;0
Hepatitis C virus genotype 2a (isolate JFH-1) (HCV);1;0;0;0
Hepatitis delta virus genotype I (isolate American) (HDV);0;0;0;0
Hepatitis E virus genotype 1 (isolate Human/Burma) (HEV-1);0;0;0;0
Hepatitis E virus genotype 2 (isolate Human/Mexico) (HEV-2);0;0;0;0
Human adenovirus A serotype 12 (HAdV-12) (Human adenovirus 12);1;0;0;0
Human adenovirus A serotype 31 (HAdV-31) (Human adenovirus 31);1;0;0;0
Human adenovirus B serotype 3 (HAdV-3) (Human adenovirus 3);1;0;0;0
Human adenovirus B serotype 7 (HAdV-7) (Human adenovirus 7);1;0;0;0
Human adenovirus C serotype 1 (HAdV-1) (Human adenovirus 1);1;0;0;0
Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2);1;0;0;0
Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5);1;0;0;0
Human adenovirus D serotype 9 (HAdV-9) (Human adenovirus 9);1;0;0;0
Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40);1;0;0;0
Human coronavirus NL63 (HCoV-NL63);1;0;0;0
Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5);1;1;0;0
Human foamy virus;0;1;0;0
Human herpesvirus 1 (HHV-1) (Human herpes simplex virus 1);1;0;0;1
Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1);1;1;0;1
Human herpesvirus 1 (strain KOS) (HHV-1) (Human herpes simplex virus 1);1;0;0;1
Human herpesvirus 1 (strain Patton) (HHV-1) (Human herpes simplex virus 1);1;0;0;0
Human herpesvirus 2 (strain 333) (HHV-2) (Human herpes simplex virus 2);1;0;0;1
Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2);1;1;0;1
Human herpesvirus 3 (HHV-3) (Varicella-zoster virus);1;0;0;1
Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus);1;1;0;0
Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus);1;1;0;0
Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus);1;1;0;1
Human herpesvirus 8 type M;1;1;0;1
Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus);1;1;0;1
Human immunodeficiency virus 1;1;1;0;0
Human immunodeficiency virus 2;1;1;0;0
Human immunodeficiency virus type 1 group M subtype A (isolate MAL) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype A (isolate U455) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype A (isolate Z321) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate BH5) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate BH8) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate BRVA) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate CDC-451) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate HXB3) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate JH32) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate JRCSF) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate KB-1/ETR) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate Lai) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate LW123) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate MFA) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate N1T-A) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate NY5) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate OYI) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate PCV12) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate SC) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate SF162) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate SF33) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate WMJ1) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate WMJ22) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype D (isolate ELI) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype D (isolate NDK) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype D (isolate Z2/CDC-Z34) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype D (isolate Z6) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype D (isolate Z84) (HIV-1);1;1;0;0
Human immunodeficiency virus type 1 group M subtype U (isolate Z3) (HIV-1);1;1;0;0
Human immunodeficiency virus type 2 subtype A (isolate BEN) (HIV-2);1;;0;0
Human immunodeficiency virus type 2 subtype A (isolate ROD) (HIV-2);1;1;0;0
Human immunodeficiency virus type 2 subtype B (isolate D205) (HIV-2);1;1;0;0
Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2);1;0;0;0
Human adenovirus E serotype 4 (HAdV-4) (Human adenovirus 4);1;0;0;0
Human papillomavirus type 1 (Human papillomavirus type 1a);1;0;0;0
Human papillomavirus type 11;1;0;0;0
Human papillomavirus type 16;1;0;0;0
Human papillomavirus type 18;1;0;0;0
Human papillomavirus type 3;1;0;0;0
Human papillomavirus type 31;1;0;0;0
Human papillomavirus type 32;1;0;0;0
Human papillomavirus type 33;1;0;0;0
Human papillomavirus type 39;1;0;0;0
Human papillomavirus type 45;1;0;0;0
Human papillomavirus type 5;1;0;0;0
Human papillomavirus type 58;1;0;0;0
Human papillomavirus type 6;1;0;0;0
Human papillomavirus type 6b;1;0;0;0
Human papillomavirus type 8;1;0;0;0
Human papillomavirus type 9;1;0;0;0
Human parainfluenza 2 virus (strain Toshiba) (HPIV-2);1;0;0;0
Human poliovirus 1;0;0;0;0
Human respiratory syncytial virus A (strain A2);1;0;0;0
Human respiratory syncytial virus B (strain B1);1;0;0;0
Human respirovirus 3;0;0;0;0
Human rhinovirus 2 (HRV-2);0;0;0;0
Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus);1;0;0;0
Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1);1;0;0;0
Human T-cell leukemia virus 1 (isolate Zaire EL subtype B) (HTLV-1);1;0;0;0
Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1);1;0;0;0
Human T-cell leukemia virus 2 (HTLV-2);1;1;0;0
Human T-cell leukemia virus 3 (strain Pyl43) (HTLV-3);1;1;0;0
Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1) (Strain: Isolate Caribbea HS-35 subtype A);1;1;0;0
Influenza A virus (A/California/08/2009(H1N1));0;0;1;0
Influenza A virus (A/Hong Kong/43/1975(H3N2));0;0;1;0
Influenza A virus (strain A/Hong Kong/156/1997 H5N1 genotype Gs/Gd);0;0;1;0
Influenza A virus (strain A/Puerto Rico/8/1934 H1N1);0;0;1;0
Influenza C virus (strain C/Ann Arbor/1/1950);0;0;1;0
Japanese encephalitis virus;1;0;0;0
JC polyomavirus (JCPyV) (JCV);1;0;0;0
Junin mammarenavirus (JUNV) (Junn mammarenavirus);1;0;0;0
Kappapapillomavirus 2;1;0;0;0
Kunjin virus (strain MRM61C);1;0;0;0
La Piedad-Michoacan-Mexico virus (LPMV);0;0;0;0
Lake Victoria marburgvirus (strain Musoke-80) (MARV) (Marburg virus (strain Kenya/Musoke/1980));1;0;0;0
Lassa virus (strain Mouse/Sierra Leone/Josiah/1976) (LASV);1;0;0;0
Lymphocytic choriomeningitis virus (strain Armstrong) (LCMV);1;0;0;0
Machupo virus (MACV);1;0;0;0
Maedi visna virus (strain KV1772) (MVV) (Visna lentivirus);1;0;0;0
Maize streak virus - A[KA];0;0;0;0
Mapuera rubulavirus;0;0;0;0
Mason-Pfizer monkey virus (MPMV) (Simian Mason-Pfizer virus);1;0;0;0
Measles virus (strain Ichinose-B95a) (MeV);1;0;0;0
Measles virus (strain Edmonston B) (MeV) (Subacute sclerose panencephalitis virus);1;0;0;0
Measles virus (strain Edmonston) (MeV) (Subacute sclerose panencephalitis virus);1;0;0;0
Measles virus (strain Edmonston-AIK-C vaccine) (MeV) (Subacute sclerose panencephalitis virus);1;0;0;0
Measles virus (strain Edmonston-Schwarz vaccine) (MeV) (Subacute sclerose panencephalitis virus);0;0;0;0
Measles virus (strain Ichinose-B95a) (MeV) (Subacute sclerose panencephalitis virus);1;0;0;0
Menangle virus;0;0;0;0
Merkel cell polyomavirus;0;0;0;0
Mokola virus (MOKV);0;0;0;0
Molluscum contagiosum virus subtype 1 (MOCV) (MCVI);1;0;0;0
Moloney murine leukemia virus (isolate Shinnick) (MoMLV);1;0;0;0
Mumps virus (strain Miyahara vaccine) (MuV);1;0;0;0
Murid herpesvirus 1 (MuHV-1) (Mouse cytomegalovirus);1;0;0;0
Murid herpesvirus 4 (MuHV-4) (Murine gammaherpesvirus 68);1;0;0;0
Murine adenovirus A serotype 1 (MAdV-1) (Murine adenovirus 1);1;0;0;0
Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus);1;0;0;0
Murine minute virus (strain MVM prototype) (MVM) (Murine minute virus (strain MVM(p)));0;0;1;0
Murine polyomavirus (strain 3) (MPyV);1;0;0;0
Murine polyomavirus (strain A2) (MPyV);1;0;0;0
Myxoma virus (strain Lausanne) (MYXV);1;0;0;0
Newcastle disease virus (strain Chicken/United States/B1/48) (NDV);1;0;0;0
Nipah virus;1;0;0;0
Orf virus (strain Goat/Texas/SA00/2000) (OV-SA00) (Orf virus-San Angelo 2000);1;0;0;0
Parainfluenza virus 5 (strain W3) (PIV5) (Simian virus 5);1;0;0;0
Petunia vein clearing virus (isolate Shepherd) (PVCV);1;0;0;0
Poliovirus type 1 (strain Sabin);0;0;0;0
Porcine reproductive and respiratory syndrome virus (PRRSV);1;0;0;0
Potato mop-top virus (isolate Potato/Sweden/Sw) (PMTV);0;0;0;0
Prospect Hill virus (PHV);0;0;0;0
Prunus necrotic ringspot virus;0;0;0;0
Puumala virus (strain Sotkamo/V-2969/81);0;0;0;0
Rabbitpox virus;1;0;0;0
Rabies virus (strain HEP-Flury) (RABV);0;0;0;0
Reovirus type 1 (strain Lang) (T1L) (Mammalian orthoreovirus 1);1;0;0;0
Reovirus type 3 (strain Dearing) (T3D) (Mammalian orthoreovirus 3);1;0;0;0
Reston ebolavirus (strain Reston-89) (REBOV) (Reston Ebola virus);1;0;0;0
Rift valley fever virus (strain ZH-548 M12) (RVFV);0;0;0;0
Rinderpest virus (strain Kabete O) (RDV);0;0;0;0
Rotavirus A (strain RVA/Human/United States/Wa/1974/G1P1A[8]) (RV-A);1;1;0;0
Rotavirus A (strain RVA/Pig/United States/OSU/1977/G5P9[7]) (RV-A) (Rotavirus A (strain Ohio State University));1;0;0;0
Rous sarcoma virus - Schmidt-Ruppin D;1;0;0;0
Rous sarcoma virus (strain Prague C) (RSV-PrC);1;1;0;0
Rubella virus (strain M33) (RUBV);1;0;0;0
Rubella virus (strain Therien) (RUBV);1;0;0;0
Sabia mammarenavirus (isolate Human/Brasil/SPH114202/1990) (SABV) (Sabi mammarenavirus);1;0;0;0
Saimiriine herpesvirus 2 (strain 11) (SaHV-2) (Herpesvirus saimiri);1;0;0;0
Saimiriine herpesvirus 2 (strain 488) (SaHV-2) (Herpesvirus saimiri);1;1;0;0
Sandfly fever sicilian virus (SFS);0;0;0;0
Semliki forest virus (SFV);0;0;0;0
Sendai virus (strain Fushimi) (SeV);1;0;0;0
Sendai virus (strain Hamamatsu) (SeV);1;0;0;0
Sendai virus (strain Ohita) (SeV);0;0;0;0
Seoul orthohantavirus;0;0;0;0
Seoul virus (strain SR-11) (Sapporo rat virus);0;0;0;0
Sheep pulmonary adenomatosis virus (Jaagsiekte sheep retrovirus) (JSRV);0;0;0;0
Simian immunodeficiency virus - agm.tan-1;1;0;0;0
Simian immunodeficiency virus (isolate Mm142-83) (SIV-mac) (Simian immunodeficiency virus rhesus monkey);1;1;0;0
Simian immunodeficiency virus agm.grivet (isolate AGM gr-1) (SIV-agm.gri) (Simian immunodeficiency virus African green monkey grivet);1;1;0;0
Simian virus 40 (SV40);1;0;0;1
Sin Nombre orthohantavirus;0;0;0;0
Sindbis virus (SINV);0;0;0;0
Soybean chlorotic mottle virus;1;0;0;0
Staphylococcus phage 42D (Bacteriophage P42D);0;0;0;0
Suid alphaherpesvirus 1 (Pseudorabies virus);1;1;0;1
Thogoto virus (isolate SiAr 126) (Tho);0;0;0;0
Tick-borne encephalitis virus;0;0;0;0
Tioman virus;0;0;0;0
Tobacco rattle virus (isolate PpK20) (TRV);0;0;0;0
Tomato bushy stunt virus (strain Cherry) (TBSV);0;0;0;0
Tomato golden mosaic virus;0;0;0;0
UR2 sarcoma virus (UR2SV) (Avian sarcoma virus (strain UR2));0;0;0;0
Vaccinia virus (strain Ankara) (VACV);1;0;0;0
Vaccinia virus (strain Copenhagen) (VACV);1;1;1;0
Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR));1;1;1;0
Varicella-zoster virus (strain Oka vaccine) (HHV-3) (Human herpesvirus 3);1;1;0;0
Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus);1;1;1;1
Vesicular stomatitis Indiana virus (strain Orsay) (VSIV);0;0;0;0
Walleye dermal sarcoma virus (WDSV);1;1;0;0
West Nile virus (WNV);1;0;0;0
Woodchuck hepatitis virus;0;1;0;0
Yaba monkey tumor virus (strain VR587) (YMTV);1;1;0;0
Yaba-like disease virus (YLDV);1;0;0;1
Zaire ebolavirus;1;0;0;0
Zaire ebolavirus (strain Kikwit-95) (ZEBOV) (Zaire Ebola virus);1;0;0;0
